_id,full_name,email,ssn,ip_address,gender,date_of_birth,age,zip_code,annual_income,credit_history_months,debt_to_income,savings_balance,loan_approved,rejection_reason,loan_purpose,interest_rate,approved_amount,spend_Shopping,spend_Rent,spend_Alcohol,spend_Dining,spend_Healthcare,spend_Fitness,spend_Entertainment,spend_Insurance,spend_Travel,spend_Transportation,spend_Utilities,spend_Groceries,spend_Education,spend_Adult_Entertainment,spend_Gambling,processing_timestamp
app_200,Jerry Smith,jerry.smith17@hotmail.com,596-64-4340,192.168.48.155,Male,2001-03-09,23,10036,73000.0,23.0,0.2,31212.0,False,algorithm_risk_score,unknown,,,480.0,790.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-15T00:00:00Z
app_037,Brandon Walker,brandon.walker2@yahoo.com,425-69-4784,10.1.102.112,Male,1992-03-31,32,10032,78000.0,51.0,0.18,17915.0,False,algorithm_risk_score,unknown,,,0.0,608.0,0.0,96.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
app_215,Scott Moore,scott.moore94@mail.com,370-78-5178,10.240.193.250,Male,1989-10-24,34,10075,61000.0,41.0,0.21,37909.0,True,,vacation,3.7,59000.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
app_024,Thomas Lee,thomas.lee6@protonmail.com,194-35-1833,192.168.175.67,Male,1983-04-25,41,10077,103000.0,70.0,0.35,0.0,True,,unknown,4.3,34000.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
app_184,Brian Rodriguez,brian.rodriguez86@aol.com,480-41-2475,172.29.125.105,Male,1999-05-21,25,10080,57000.0,14.0,0.23,31763.0,False,algorithm_risk_score,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-15T00:00:00Z
app_275,Maria Miller,maria.miller67@outlook.com,417-25-4912,172.25.58.70,Female,1982-02-14,42,10019,110000.0,33.0,0.05,49933.0,False,algorithm_risk_score,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
app_099,Nicholas King,nicholas.king46@outlook.com,613-23-2503,10.62.62.45,Male,1990-01-28,34,10022,55000.0,61.0,0.17,30159.0,True,,unknown,5.6,27000.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
app_246,Susan Rivera,susan.rivera74@gmail.com,176-97-1864,192.168.158.59,Female,1991-10-11,32,90223,82000.0,31.0,0.29,21809.0,True,,auto,2.8,38000.0,0.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
app_348,Michael Mitchell,michael.mitchell42@hotmail.com,100-94-8400,172.28.12.121,Male,1989-10-10,34,10080,55000.0,5.0,0.41,13794.0,False,insufficient_credit_history,unknown,,,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
app_309,Patricia Carter,patricia.carter75@gmail.com,392-82-4407,192.168.231.120,Female,1970-10-01,53,90250,63000.0,99.0,0.37,21769.0,True,,unknown,5.1,72000.0,0.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,unknown
